Fecha,Real,SARIMA,Prophet,LSTM
2024-04,2612.49,2746.44,2733.24,2635.3
2024-05,2775.49,2843.63,2819.4,2631.78
2024-06,2522.92,2712.86,2716.12,2641.27
2024-07,2596.43,2795.67,2781.47,2628.79
2024-08,2556.11,2775.22,2766.11,2620.53
2024-09,2330.51,2740.64,2741.13,2610.15
2024-10,2049.18,2829.93,2837.56,2578.34
2024-11,1939.44,2736.06,2737.04,2516.29
2024-12,2434.76,2864.77,2855.1,2443.64
